uid,gender,dob,user_age,survey_completed_at,YxZ6vHaWrjiZeuWh7u6f,4VkmpYHERksTAILQTTJK,bdBAzKDJf4fRFayyKVUv,9ZR7eWvLbWr74kHO72U8,Qdgvx8TLWNazLO6ZGuoP,HIEOGzWayi3OTZVed5S1,lJvzoqdgZxXyxOKQnlo6,DgFsclpb4ikv44YWa11a,KvIEjTzERWFzurF0UKXp,v7CDeDZbxdwxYSAR0d9X,lx7K6NXFzkjKwPPyhYJB,L0Vkyg6X7xTiRzkwlUwz
1df5cf4f-557d-410b-b80b-dc888afa1e34,F,1958-02-17 00:00:00 UTC,68,2026-07-24 11:28:01 UTC,Super/hipermercado,"Menos de 1,50 €",4,Es muy superior,Chocolate,,4,La cremosidad y sedosidad de la crema de pistacho,Para ofrecer en casa a los invitados en una ocasión especial,No lo conocía,,Compradores potenciales
04e77c7f-129e-4c6e-b3aa-d0447838c53a,F,2005-03-06 23:00:00 UTC,21,2026-07-29 14:28:01 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es muy superior,Chocolate,,10,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,"Sí lo conocía, pero no los había probado",,Compradores potenciales
5660e28f-a21c-4b03-bf50-39ec52f8bcbb,M,1973-01-04 00:00:00 UTC,53,2026-07-27 18:21:22 UTC,Tienda de conveniencia,"2,00–2,49 €",10,Es de menor calidad,Chocolate,,10,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Para regalar como un detalle elegante o gourmet a alguien especial,Soy compradora/o habitual,,Compradores potenciales
497748b7-95f3-45b8-b9b0-62e144fd4fb0,F,1974-03-31 00:00:00 UTC,52,,Super/hipermercado,"1,50–1,99 €",8,Es muy superior,Helado,No me acuerdo,8,Otro,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
891b0ad8-365b-43b4-93c5-6839656b3b48,F,1984-02-02 00:00:00 UTC,42,,Tienda de conveniencia,"1,50–1,99 €",10,Es ligeramente mejor,Turrón,,3,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Para regalar como un detalle elegante o gourmet a alguien especial,Soy compradora/o habitual,,Compradores potenciales
a5473a8f-2a6f-4bd1-9f57-9adeb1d9713d,M,1960-03-06 00:00:00 UTC,66,2026-07-19 12:43:17 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es ligeramente mejor,Helado,,9,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
9601E455-8268-47E2-AFF4-6464392FA146,F,1981-08-28 00:00:00 UTC,45,2026-07-26 14:19:22 UTC,Super/hipermercado,"1,50–1,99 €",8,Es ligeramente mejor,Helado,,9,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
69bb3fa2-034d-4e45-b0ff-50b6622a75be,NA,1982-03-24 23:00:00 UTC,44,2026-07-18 08:36:14 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es ligeramente mejor,Chocolate,,9,La calidad y el sabor del chocolate con leche exterior,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
50b55f82-8274-4171-b11b-5d452081721e,M,1988-05-25 00:00:00 UTC,38,2026-07-19 20:17:47 UTC,Super/hipermercado,"1,50–1,99 €",8,Es muy superior,Crema para untar,,8,La cremosidad y sedosidad de la crema de pistacho,Para ofrecer en casa a los invitados en una ocasión especial,No lo conocía,,Compradores potenciales
2bed42eb-50ba-499e-ab07-1ef5bf4ac7d2,M,1974-04-20 00:00:00 UTC,52,2026-07-23 07:46:04 UTC,Super/hipermercado,"Menos de 1,50 €",8,Es igual que otros chocolates con pistacho que he probado,Helado,,8,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
0E235ADE-90AB-4CD9-95C6-341E7EFE91D6,F,1986-09-08 00:00:00 UTC,40,2026-07-24 18:39:41 UTC,Super/hipermercado,"Menos de 1,50 €",9,Es igual que otros chocolates con pistacho que he probado,Chocolate,,9,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
59fa6575-bdbe-40d2-97ed-efb0040d0f99,M,1968-08-21 22:00:00 UTC,58,2026-07-24 09:42:03 UTC,Tienda online,"3,00 € o más",10,Es muy superior,Chocolate,Chocolate crujiente,10,Otro,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
060a4e02-074a-4d29-be69-862fbe50449c,M,1953-06-09 00:00:00 UTC,73,2026-07-25 10:34:01 UTC,Super/hipermercado,"1,50–1,99 €",8,Es ligeramente mejor,Helado,,8,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
cbe5fdba-24c3-4d81-8f29-a4a2e4056de3,NA,1984-06-06 22:00:00 UTC,42,,Super/hipermercado,"3,00 € o más",10,Es muy superior,Chocolate,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
7e693602-addb-477d-bfeb-9338c80afa32,F,1969-10-28 00:00:00 UTC,57,2026-07-20 14:13:08 UTC,Super/hipermercado,"1,50–1,99 €",9,Es muy superior,Helado,,9,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,"Sí lo conocía, pero no los había probado",,Compradores potenciales
e8e0a3b3-74e3-4b2b-9447-5d123890bf4a,F,1996-05-17 22:00:00 UTC,30,2026-07-21 22:05:39 UTC,Super/hipermercado,"Menos de 1,50 €",10,Es muy superior,Helado,,5,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,Los había comprado alguna vez,,Compradores potenciales
c5947021-02e8-4311-a194-f43900814d2a,F,1980-01-10 23:00:00 UTC,46,,Super/hipermercado,"1,50–1,99 €",10,Es muy superior,Chocolate,,10,La cremosidad y sedosidad de la crema de pistacho,Para regalar como un detalle elegante o gourmet a alguien especial,No lo conocía,,Compradores potenciales
4281d506-ced9-47a7-81a6-c181cab7601f,F,1958-02-21 00:00:00 UTC,68,2026-07-19 17:40:42 UTC,Tiendas gourmet,"2,00–2,49 €",9,No he probado otros chocolates con pistacho anteriormente,Confitería / dulces / bollería,,10,La cremosidad y sedosidad de la crema de pistacho,Como un capricho personal para consumir de forma individual en el momento,No lo conocía,,Compradores potenciales
d6856513-41c7-4f2e-8a04-11129ae0f809,F,1974-08-10 00:00:00 UTC,52,2026-07-15 17:50:50 UTC,Super/hipermercado,"1,50–1,99 €",8,Es muy superior,Helado,,8,La cremosidad y sedosidad de la crema de pistacho,Para ofrecer en casa a los invitados en una ocasión especial,Los había comprado alguna vez,,Compradores potenciales
cefddd2a-3098-489f-a595-b64bb9bc6140,M,2008-01-27 23:00:00 UTC,18,2026-07-29 17:12:19 UTC,Super/hipermercado,"Menos de 1,50 €",4,Es muy superior,Chocolate,,4,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Para regalar como un detalle elegante o gourmet a alguien especial,Los había comprado alguna vez,,Compradores potenciales
d0424453-1b68-4ff9-a0e5-cf9015f1f40d,M,1977-05-03 22:00:00 UTC,49,2026-07-15 12:54:45 UTC,Tiendas gourmet,"2,50–2,99 €",9,Es de menor calidad,Helado,,9,El equilibrio perfecto entre el relleno cremoso y el interior crujiente,Para regalar como un detalle elegante o gourmet a alguien especial,No lo conocía,,Compradores potenciales
